Id,Title,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
B0006E4RYA,Soldiers of fortune (The Epic of flight),,A3F0AFTVKFAMZZ,Marvin D. Pipher,4/4,3.0,1188777600,The adventures of those fliers for whom the price was right . . .,"This is one of a series of books, by Time Life, which explores the history of aviation from its earliest stages up to the jet age (circa 1981). This particular volume presents a portion of that history from the standpoint of those who volunteered their services, generally for high pay, to fly for foreign powers, most often in secret and under extremely hazardous conditions. Their story is presented in five chapters. The first covers the early days; the second, the Spanish Civil War; the third, ""The Flying Tigers;"" the fourth, what the book terms ""an airborne knight-errant;"" and the fifth, the broader war in Southeast Asia which led to and culminated with the end of the Vietnam War.I bought this book primarily because of the chapter about the American Volunteer Group (AVG), better known as the Flying Tigers. That chapter intrigued me but, based on the book's title I also I hoped to learn a little more about the Lafayette Escadrille. In both regards, I was, somewhat disappointed. Surprisingly, little was said about the Lafayette Escadrille, and, for some inexplicable reason, the chapter on the Flying Tigers seemed to concentrate on the adventures of Gregory ""Pappy"" Boyington, who, based on everything I've ever read, was one of the AVG's lesser lights. To make matters worse, much that was said about Boyington didn't quite agree with what I thought I already knew.The rest of the book, however, was very interesting and quite informative. I learned a lot of history, particularly about the Spanish Civil War and the events leading up to the Vietnam War. I also learned what Claire Chenault did after his AVG folded and World War II came to an end. I also encountered some very interesting and unusual flyers about whom I previously knew nothing. The most interesting of these was the subject of Chapter 4, Sweden's Count Carl Gustave von Rosen, a man who always tried to fly for the right cause and who, unlike his fellow mercenaries, charged only a nominal wage and if the need arose would serve at his own expense. It's sad that Rosen met such a cruel end, but one can hope that he is remembered and recognized in Sweden for the hero he was in life.As for the book: I would recommend it to anyone interested in aviation history, especially history told from the perspective of those few aviation adventurers who were willing to put their lives on the line for someone else's cause (as long as the price was right)."
B000OUU17S,Incident at Badamya,,A3L08WCNKS8AFA,P. Davis,0/3,2.0,1274486400,Not as expected,I was surprised that this was an old library book. The pages were very yellow and it smelled musty.
B000U2M5HO,Jude the Obscure,,A2OO4X0JJY0559,Tracy Kaufman,2/3,5.0,972086400,this book is AMAZING,"I can hardly put into words how much I loved this book. Granted, if you're looking for a light-hearted read with a happy ending, then this is not for you, but if you love to be moved deeply and if you love books that can move you to tears and send chills down your spine with their final sentences, then this is the book for you. I repeat: this book is wonderful beyond belief."
1588465845,Mage the Awakening DELUXE SCREEN,,A31QYFL810FAW,B. Schenck,7/7,4.0,1130112000,Excellent product,"I think that the Storyteller's Screens put out by White Wolf have only done nothing but improve over time. In year's past, the screens were slightly flexible and not nearly as sturdy as they should have been, and not nearly as nice looking as they could have been. This one is definitely nicely done.Firstly, the screen itself is made of the same material as the hardcover books you buy from White Wolf. In and of itself, this is a huge leap forward, as the screen is about as sturdy as you can get, at the same time being easily folded up for transportation. It's also a nicely sized screen, covering plenty of area that you want to obscure. And the cover itself is very similar to the designs and patterns on the Mage book.The screen has plenty of information from the original WoD book (so you don't need to have it open all the time), as well as plenty of material from the Mage book itself. Definitely something that makes it a bit easier on the spines of those hardcover books (which is a shame to damage in the case of the very beautiful looking Mage book). In some respects, it's almost too packed, as there is literally information all over the 4 folding sections of the screen. So, you definitely get what you paid for.Which is really my only complaint; the screen is almost too full of information. So, it can be hard to find stuff as there's a lot up there. The large type face makes things fairly easy to find, but it still has a lot all over the sections facing the Storyteller. Many might find this a hard complaint, as the more information available at a glance the better... But there's always some little bit of less referenced information that can be left off.Still, all in all, it's an excellent piece of work. For the $14 or so price, it's worth it."
B0007ENG4G,The travels of Marco Polo: The Venetian,,,,1/9,5.0,885945600,My book is one of the best. Milton Rugoff.,My book is one of the best Marco Polo books for elementary age kids to learn about a great person who discovered a great mass of knowlge. Milton Rugoff
0785212167,Believer's Bible Commentary,24.91,ATW8OIPE4ZNRE,Judi Johnson,0/0,5.0,1357084800,made a wonderful Christmas gift for my daughter,"it was perfect! I was at a loss as to what to get my grown daughter. She teaches a women's Sundat school class, and this seemed to be the perfect gift for her!"
B000KAHM5Q,Love You Forever,,A2V3RJLVFNA1QN,A. Martin,0/0,5.0,1213142400,Grear book!!,"I really think that people are over analyzing this book. It's a sweet book and it's meant for children. Yes, a little dramatized but all children books are. I mean, we read to them about animals and monsters. My mom read it to me and now I read it to my son. Nothing creepy unless you make out to be. I love this book but if you don't, just don't read it. No need for harsh criticism!!"
B000NLSAKI,The Winter of Our Discontent,,APCSYUM45ZCQR,"Patrick B. Flynn ""Trick""",1/2,4.0,1229817600,Discontent Inspires Minor Disappointment,"I was pleased, but not enraptured. Whereas ""East of Eden"" or ""Of Mice and Men"" provide the reader with beautifully rich characters wrapped in poetic narrative, ""The Winter of Our Discontent"" offers an expanded cast encased in a comparatively mediocre prose.Ethan Hawley--grocery store clerk, heir of a small town American legacy, father, husband, and friend--is the books sole intriguing character. Tempted by greed, lust, violence, and crime--through which he skates unscathed-- Ethan's struggles lead to his near suicide which is prevented by love for his daughter and a desire to see his name thrive.Ethan's relationship with and attitude toward his children is where this story shines. This alone makes it a novel worth reading. He is brutal in pointing out his children's flaws, but constant in his love and devotion towards them.Overall, not my favorite Steinbeck, but it was surely interesting. The few brilliantly poetic sentences interspersed in passable prose kept me reading.Yes, I will deign to give this book a completely subjective letter grade: B+."
0451515242,Emma (Signet classics),,A1PNE9GR9XCUST,Tammy,1/3,4.0,949104000,Light and Fun Reading,Emma is a wonderful story. It's a timeless story and worth reading. Very light and amusing.
0449234088,The Godfather,,,,0/0,5.0,929059200,A beautiful insight,"First of all, I absolutely love the movies (Godfather I and Godfather II). Now I feel I can say the same for the book. (Who would have ever guessed Michael had a little sense of humor underneath his cool exterior?) It really gives you some depth to the characters, but action at the same time. So either way you can't put it down! I can't wait to watch the movie again :)"
